ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
987	ShipiboKonibo	foam	βakóʂ	βakóʂ	β a k ó/o ʂ	None	474		['β', 'a', 'k', 'ó/o', 'ʂ', '-', '(', '-', ')']	139
988	Kapanawa	foam	βakóʂ	βakóʂ	β a k ó/o ʂ	None	474		['β', 'a', 'k', 'ó/o', 'ʂ', '-', '(', '-', ')']	139
989	Marubo	foam	vakoʃɨ	vakoʃɨ	v a k o ʃ ɨ	None	474		['v', 'a', 'k', 'o', 'ʃ', 'ɨ', '(', '-', ')']	139
990	Chakobo	foam	βakoʂ	βakoʂ	β a k o ʂ	None	474		['β', 'a', 'k', 'o', 'ʂ', '-', '(', '-', ')']	139
991	Chakobo	foam	βakoʂo	βakoʂo	β a k o ʂ o	None	474		['β', 'a', 'k', 'o', 'ʂ', '-', '(', 'o', ')']	139
992	Sharanawa	foam	ɸakoʂɨ	ɸakoʂɨ	ɸ a k o ʂ ɨ	None	474		['ɸ', 'a', 'k', 'o', 'ʂ', 'ɨ', '(', '-', ')']	139
993	Amawaka	foam	wakox	wakox	w a k o x	None	474		['w', 'a', 'k', 'o', 'x', '-', '(', '-', ')']	139
994	Kaxinawa	foam	bakuʂ	bakuʂ	b a k u ʂ	None	474		['b', 'a', 'k', 'u', 'ʂ', '-', '(', '-', ')']	139
995	Marinawa	foam	ɸákoʂɨ	ɸákoʂɨ	ɸ á/a k o ʂ ɨ	None	474		['ɸ', 'á/a', 'k', 'o', 'ʂ', 'ɨ', '(', '-', ')']	139
996	Mayoruna	foam	baˈkuʂ	baˈkuʂ	b a k u ʂ	None	474		['b', 'a', 'k', 'u', 'ʂ', '-', '(', '-', ')']	139
4834	Proto-Panoan	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
4835	Kakataibo	food	piti	piti	p i t i	None	267		['p', 'i', 't', 'i', '(', '-', '-', '-', ')']	140
