ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	ALIGNMENT
1746	Mayoruna	amber	tsisu	tsisu	ts i s u	None	18	ts i s - u
1732	Proto-Panoan	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	( - - - - - ) ts i s t ɨ ( - )
1733	Kakataibo	amber, coal	tsisu	tsisu	ts i s u	None	672	ts i s - u
1734	ShipiboKonibo	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	( - - - - - ) ts i s t ɨ ( - )
1735	Kapanawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	( - - - - - ) ts i s t ɨ ( - )
1736	Chakobo	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	( - - - - - ) ts i s t ɨ ( - )
1737	Chakobo	amber, coal	tsistí	tsistí	ts i s t !í/ɨ	None	17	( - - - - - ) ts i s t !í/ɨ ( - )
1738	Sharanawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	( - - - - - ) ts i s t ɨ ( - )
1739	Sharanawa	amber, coal	tsistɨn	tsistɨn	ts i s t ɨ n	None	17	( - - - - - ) ts i s t ɨ ( n )
1740	Kaxinawa	amber, coal	tsistɨ	tsistɨ	ts i s t ɨ	None	17	( - - - - - ) ts i s t ɨ ( - )
1741	Kaxinawa	amber, coal	kaɾu_tʃiʃtɨ	kaɾu_tʃiʃtɨ	k a ɾ u + tʃ i ʃ t ɨ	None	17	( k a ɾ u + ) tʃ i ʃ t ɨ ( - )
1742	Marinawa	amber, coal	tsístɨ́	tsístɨ́	ts !í/i s t ɨ́	None	17	( - - - - - ) ts !í/i s t ɨ́ ( - )
1744	Kakataibo	amber, coal	tsiso	tsiso	ts i s o	None	18	ts i s - o
7141	Proto-Panoan	animal	yoʔi[n]a	yoʔi[n]a	j o ʔ i rⁿ a	None	451	j o ʔ i rⁿ a ( - )
7142	Kakataibo	animal	ñoina	ñoina	ɲ o i n a	None	451	ɲ o - i n a ( - )
7143	ShipiboKonibo	animal	yoina	yoina	j o i n a	None	451	j o - i n a ( - )
