Grapheme	IPA	Examples	Languages	Frequence	Codepoints
ʃ	ʃ	kiʃi, kaʃi	Yawanawa, Kaxinawa, Marubo, Chaninawa, Chakobo, Marinawa, Yaminawa, Amawaka, Korubo, ShipiboKonibo, Sharanawa, Kapanawa, Katukina, Kaxarari, Kakataibo, Poyanawa, MattisList, Mayoruna	100	U+0283
^y	y	-ya, yami	Sharanawa, Kapanawa, ShipiboKonibo, Amawaka, Chakobo, Kaxinawa, Marinawa, Marubo, Yaminawa, Katukina, Chaninawa, Shanenawa, Kaxarari	100	U+005e U+0079
á	á	tʃaɾáʂ, ká-tɨ-xáo	Marinawa, Amawaka, Kapanawa, Chakobo, ShipiboKonibo, Kakataibo, Sharanawa	100	U+00e1
^a	a	atsa, ak-	Sharanawa, Shanenawa, Kaxinawa, Yawanawa, Marubo, Yaminawa, Katukina, MattisList, Chakobo, Korubo, Mayoruna, Poyanawa, Kakataibo, Marinawa, Kapanawa, Amawaka, ShipiboKonibo, Chaninawa, Kaxarari	100	U+005e U+0061
^ɸ	ɸ	ɸakɨ, ɸɨnɨ	Sharanawa, Marinawa, Chaninawa, Yaminawa, Shanenawa	100	U+005e U+0278
I$	<?>	watʃí_I, iwó_I	Amawaka, Chakobo, Kapanawa, Kaxinawa, Yaminawa, Marubo, Marinawa	100	U+0049 U+0024
^ʔ	ʔ	ʔatsa, ʔa-	Amawaka, Kapanawa, ShipiboKonibo, Chakobo, Kakataibo	100	U+005e U+0294
^w	w	wai, waka	Amawaka, Kapanawa, Chakobo, ShipiboKonibo, Katukina, MattisList, Kaxinawa, Marubo, Shanenawa, Korubo, Kaxarari, Mayoruna	100	U+005e U+0077
tʃ	tʃ	βatʃi, itʃa-pa	Sharanawa, Kaxinawa, Chakobo, Amawaka, ShipiboKonibo, Kapanawa, Marinawa, Shanenawa, Kakataibo, Yaminawa, Yawanawa, Chaninawa, Marubo, Mayoruna, Korubo, Katukina, MattisList, Kaxarari	100	U+0074 U+0283
ʔ	ʔ	tsiʔo, nawa_βaʔi	Kapanawa, Amawaka, Chakobo, ShipiboKonibo, Kakataibo, Marubo	100	U+0294
β	β	niβo, mɨβi	Kakataibo, Kapanawa, ShipiboKonibo, Chakobo, Katukina, Korubo, Marubo, Yawanawa, Poyanawa, Kaxarari, Kaxinawa	100	U+03b2
í	í	ʔotʃíti, mɨntsís	Amawaka, Kapanawa, ShipiboKonibo, Chakobo, Marinawa, Kakataibo, Kaxinawa, Mayoruna	100	U+00ed
II$	<?>	kiyoo_II, naa_waʔi_II	Amawaka, Poyanawa	100	U+0049 U+0049 U+0024
ts	ts	matsi, atsa	Amawaka, Kakataibo, ShipiboKonibo, Chakobo, Kapanawa, Marubo, Yaminawa, Sharanawa, Kaxinawa, Katukina, Marinawa, Chaninawa, Shanenawa, Yawanawa, MattisList, Kaxarari, Mayoruna, Korubo, Poyanawa	100	U+0074 U+0073
d	d	bebida_demasiado_fermentada, bɨdu	Kaxinawa, Chaninawa, MattisList, Mayoruna, Poyanawa, ShipiboKonibo, Sharanawa, Amawaka, Yaminawa, Chakobo, Kapanawa, Marubo, Marinawa, Korubo	100	U+0064
^b	b	bɨ, bɨnɨ	Kaxinawa, Mayoruna, MattisList, Kaxarari, Chakobo, Korubo, Chaninawa, Sharanawa	100	U+005e U+0062
^tʃ	tʃ	tʃaʂo, tʃaka-	ShipiboKonibo, Kaxinawa, Sharanawa, Kakataibo, Kapanawa, Amawaka, Chakobo, Yaminawa, Marinawa, Chaninawa, Katukina, Shanenawa, MattisList, Yawanawa, Marubo, Mayoruna, Poyanawa, Korubo	100	U+005e U+0074 U+0283
