Grapheme	IPA	Examples	Languages	Frequence	Codepoints
imi_[ˈi᷈mbi]	<???>	imi_[ˈi᷈mbi]	Marubo	1	U+0069 U+006d U+0069 U+005f U+005b U+02c8 U+0069 U+1dc8 U+006d U+0062 U+0069 U+005d
m$	m	im-	Yaminawa	1	U+006d U+0024
hina_[hiˈa]	<???>	hina_[hiˈa]	Katukina	1	U+0068 U+0069 U+006e U+0061 U+005f U+005b U+0068 U+0069 U+02c8 U+0061 U+005d
inkwente_[iŋ.ˈkwen.te]	<???>	inkwente_[iŋ.ˈkwen.te]	Mayoruna	1	U+0069 U+006e U+006b U+0077 U+0065 U+006e U+0074 U+0065 U+005f U+005b U+0069 U+014b U+002e U+02c8 U+006b U+0077 U+0065 U+006e U+002e U+0074 U+0065 U+005d
juego_202]’	<???>	juego_202]’	Marinawa	1	U+006a U+0075 U+0065 U+0067 U+006f U+005f U+0032 U+0030 U+0032 U+005d U+2019
isulu_[isuˈlu]	<???>	isulu_[isuˈlu]	Kaxarari	1	U+0069 U+0073 U+0075 U+006c U+0075 U+005f U+005b U+0069 U+0073 U+0075 U+02c8 U+006c U+0075 U+005d
ũ̃$	ũ	isũ̃	Kaxinawa	1	U+0169 U+0303 U+0024
^ii$	ii	ii	Kakataibo	1	U+005e U+0069 U+0069 U+0024
iwi_[ˈīwĭ]	<???>	iwi_[ˈīwĭ]	Marubo	1	U+0069 U+0077 U+0069 U+005f U+005b U+02c8 U+012b U+0077 U+012d U+005d
kaˈhi_[kaˈɦi]	<???>	kaˈhi_[kaˈɦi]	Kaxarari	1	U+006b U+0061 U+02c8 U+0068 U+0069 U+005f U+005b U+006b U+0061 U+02c8 U+0266 U+0069 U+005d
kuibi_[kwiˈbi]	<???>	kuibi_[kwiˈbi]	Mayoruna	1	U+006b U+0075 U+0069 U+0062 U+0069 U+005f U+005b U+006b U+0077 U+0069 U+02c8 U+0062 U+0069 U+005d
kiˈwi_[kiˈwi]	<???>	kiˈwi_[kiˈwi]	Kaxarari	1	U+006b U+0069 U+02c8 U+0077 U+0069 U+005f U+005b U+006b U+0069 U+02c8 U+0077 U+0069 U+005d
kuɨbu_[kwɨˈbu]	<???>	kuɨbu_[kwɨˈbu]	Mayoruna	1	U+006b U+0075 U+0268 U+0062 U+0075 U+005f U+005b U+006b U+0077 U+0268 U+02c8 U+0062 U+0075 U+005d
ɨ᷈ɨ᷈	ɨ᷈ɨ᷈	kɨ᷈ɨ᷈-_I	Amawaka	1	U+0268 U+1dc8 U+0268 U+1dc8
᷈$	<?>	kɨ-᷈	Kaxinawa	1	U+1dc8 U+0024
ɨ᷈ɨ᷈$	ɨ᷈ɨ᷈	kɨ᷈ɨ᷈	Marinawa	1	U+0268 U+1dc8 U+0268 U+1dc8 U+0024
kuɨn_[kwɨn]	<???>	kuɨn_[kwɨn]	Mayoruna	1	U+006b U+0075 U+0268 U+006e U+005f U+005b U+006b U+0077 U+0268 U+006e U+005d
kɨni_[ˈkɨni]	<???>	kɨni_[ˈkɨni]	Marubo	1	U+006b U+0268 U+006e U+0069 U+005f U+005b U+02c8 U+006b U+0268 U+006e U+0069 U+005d
kuibu_[kwiˈbu]	<???>	kuibu_[kwiˈbu]	Mayoruna	1	U+006b U+0075 U+0069 U+0062 U+0075 U+005f U+005b U+006b U+0077 U+0069 U+02c8 U+0062 U+0075 U+005d
kuɨno_[kuɨˈno]	<???>	kuɨno_[kuɨˈno]	Mayoruna	1	U+006b U+0075 U+0268 U+006e U+006f U+005f U+005b U+006b U+0075 U+0268 U+02c8 U+006e U+006f U+005d
kuɨnma_[kuɨnˈma]	<???>	kuɨnma_[kuɨnˈma]	Mayoruna	1	U+006b U+0075 U+0268 U+006e U+006d U+0061 U+005f U+005b U+006b U+0075 U+0268 U+006e U+02c8 U+006d U+0061 U+005d
kani_[kaˈni]	<???>	kani_[kaˈni]	Mayoruna	1	U+006b U+0061 U+006e U+0069 U+005f U+005b U+006b U+0061 U+02c8 U+006e U+0069 U+005d
kaniua_[kaˈniwa]	<???>	kaniua_[kaˈniwa]	Mayoruna	1	U+006b U+0061 U+006e U+0069 U+0075 U+0061 U+005f U+005b U+006b U+0061 U+02c8 U+006e U+0069 U+0077 U+0061 U+005d
_́	_́	kãkã_́_	ShipiboKonibo	1	U+005f U+0301
kamalu_[kamaˈlu]	<???>	kamalu_[kamaˈlu]	Kaxarari	1	U+006b U+0061 U+006d U+0061 U+006c U+0075 U+005f U+005b U+006b U+0061 U+006d U+0061 U+02c8 U+006c U+0075 U+005d
kamun_[ka.ˈmun]	<???>	kamun_[ka.ˈmun]	Mayoruna	1	U+006b U+0061 U+006d U+0075 U+006e U+005f U+005b U+006b U+0061 U+002e U+02c8 U+006d U+0075 U+006e U+005d
kala_[kaˈla]	<???>	kala_[kaˈla]	Kaxarari	1	U+006b U+0061 U+006c U+0061 U+005f U+005b U+006b U+0061 U+02c8 U+006c U+0061 U+005d
kana_[kaˈnaʔ]	<???>	kana_[kaˈnaʔ]	Katukina	1	U+006b U+0061 U+006e U+0061 U+005f U+005b U+006b U+0061 U+02c8 U+006e U+0061 U+0294 U+005d
kanataˈhi_[kɐnataˈɦi]	<???>	kanataˈhi_[kɐnataˈɦi]	Kaxarari	1	U+006b U+0061 U+006e U+0061 U+0074 U+0061 U+02c8 U+0068 U+0069 U+005f U+005b U+006b U+0250 U+006e U+0061 U+0074 U+0061 U+02c8 U+0266 U+0069 U+005d
kano_[kaˈno]	<???>	kano_[kaˈno]	Mayoruna	1	U+006b U+0061 U+006e U+006f U+005f U+005b U+006b U+0061 U+02c8 U+006e U+006f U+005d
kaˈpa_[kaˈpa]	<???>	kaˈpa_[kaˈpa]	Kaxarari	1	U+006b U+0061 U+02c8 U+0070 U+0061 U+005f U+005b U+006b U+0061 U+02c8 U+0070 U+0061 U+005d
kapa_[kaˈpa]	<???>	kapa_[kaˈpa]	Mayoruna	1	U+006b U+0061 U+0070 U+0061 U+005f U+005b U+006b U+0061 U+02c8 U+0070 U+0061 U+005d
ɨ᷈᷈$	ɨ᷈᷈	kápɨ᷈᷈	Marinawa	1	U+0268 U+1dc8 U+1dc8 U+0024
kadi_[kaˈɾi]	<???>	kadi_[kaˈɾi]	Mayoruna	1	U+006b U+0061 U+0064 U+0069 U+005f U+005b U+006b U+0061 U+02c8 U+027e U+0069 U+005d
uʂkas_[uʂ.ˈkas]	<???>	uʂkas_[uʂ.ˈkas]	Mayoruna	1	U+0075 U+0282 U+006b U+0061 U+0073 U+005f U+005b U+0075 U+0282 U+002e U+02c8 U+006b U+0061 U+0073 U+005d
pias_[pyás]	<???>	pias_[pyás]	Mayoruna	1	U+0070 U+0069 U+0061 U+0073 U+005f U+005b U+0070 U+0079 U+00e1 U+0073 U+005d
cc	cc	uccas	Mayoruna	1	U+0063 U+0063
kaʃiˈwa_[kaʃiˈwa]	<???>	kaʃiˈwa_[kaʃiˈwa]	Kaxarari	1	U+006b U+0061 U+0283 U+0069 U+02c8 U+0077 U+0061 U+005f U+005b U+006b U+0061 U+0283 U+0069 U+02c8 U+0077 U+0061 U+005d
ka-ʂu_[kaˈʂu]	<???>	ka-ʂu_[kaˈʂu]	Mayoruna	1	U+006b U+0061 U+002d U+0282 U+0075 U+005f U+005b U+006b U+0061 U+02c8 U+0282 U+0075 U+005d
ʔʂ	ʔʂ	kɨʔʂɨ-	Kapanawa	1	U+0294 U+0282
ˈɾ	ɾ	kɨˈɾɨ	Chakobo	1	U+02c8 U+027e
k᷈	k᷈	kɨk᷈_ɨ́ʂ	ShipiboKonibo	1	U+006b U+1dc8
Y	<?>	kɨ́tɨ_Yaw_kɨti	Marinawa	1	U+0059
kini_[ˈkīnĭ]	<???>	kini_[ˈkīnĭ]	Marubo	1	U+006b U+0069 U+006e U+0069 U+005f U+005b U+02c8 U+006b U+012b U+006e U+012d U+005d
kiˈli_[kiˈi]	<???>	kiˈli_[kiˈi]	Kaxarari	1	U+006b U+0069 U+02c8 U+006c U+0069 U+005f U+005b U+006b U+0069 U+02c8 U+f0b4 U+0069 U+005d
kiʃi_[kiˈʃi]	<???>	kiʃi_[kiˈʃi]	Kaxarari	1	U+006b U+0069 U+0283 U+0069 U+005f U+005b U+006b U+0069 U+02c8 U+0283 U+0069 U+005d
kiʂi_[kiˈʂiʔ]	<???>	kiʂi_[kiˈʂiʔ]	Katukina	1	U+006b U+0069 U+0282 U+0069 U+005f U+005b U+006b U+0069 U+02c8 U+0282 U+0069 U+0294 U+005d
kiʃi_[ki.ˈʃi]	<???>	kiʃi_[ki.ˈʃi]	Yawanawa	1	U+006b U+0069 U+0283 U+0069 U+005f U+005b U+006b U+0069 U+002e U+02c8 U+0283 U+0069 U+005d
kuistʃipa_[kwisˈtʃipa]	<???>	kuistʃipa_[kwisˈtʃipa]	Mayoruna	1	U+006b U+0075 U+0069 U+0073 U+0074 U+0283 U+0069 U+0070 U+0061 U+005f U+005b U+006b U+0077 U+0069 U+0073 U+02c8 U+0074 U+0283 U+0069 U+0070 U+0061 U+005d
kuaˈni_[kwaˈni]	<???>	kuaˈni_[kwaˈni]	Kaxarari	1	U+006b U+0075 U+0061 U+02c8 U+006e U+0069 U+005f U+005b U+006b U+0077 U+0061 U+02c8 U+006e U+0069 U+005d
kuaˈni_[kwaˈi]	<???>	kuaˈni_[kwaˈi]	Kaxarari	1	U+006b U+0075 U+0061 U+02c8 U+006e U+0069 U+005f U+005b U+006b U+0077 U+0061 U+02c8 U+0069 U+005d
I	<?>	kõwi᷈_I_hervir’	Amawaka	1	U+0049
^H	<?>	Hermano_de_la_madre	Kaxinawa	1	U+005e U+0048
kuku_[ku.ˈku]	<???>	kuku_[ku.ˈku]	Mayoruna	1	U+006b U+0075 U+006b U+0075 U+005f U+005b U+006b U+0075 U+002e U+02c8 U+006b U+0075 U+005d
ẽ	ẽ	kweẽkoro	Kakataibo	1	U+1ebd
kudu_[kuɾu]	<???>	kudu_[kuɾu]	MattisList	1	U+006b U+0075 U+0064 U+0075 U+005f U+005b U+006b U+0075 U+027e U+0075 U+005d
kudu_[kuˈɾu]	<???>	kudu_[kuˈɾu]	Mayoruna	1	U+006b U+0075 U+0064 U+0075 U+005f U+005b U+006b U+0075 U+02c8 U+027e U+0075 U+005d
ʃakuaˈʂa_[ʃakwaˈʂa]	<???>	ʃakuaˈʂa_[ʃakwaˈʂa]	Kaxarari	1	U+0283 U+0061 U+006b U+0075 U+0061 U+02c8 U+0282 U+0061 U+005f U+005b U+0283 U+0061 U+006b U+0077 U+0061 U+02c8 U+0282 U+0061 U+005d
kuʂu_[kuˈʂu]	<???>	kuʂu_[kuˈʂu]	Mayoruna	1	U+006b U+0075 U+0282 U+0075 U+005f U+005b U+006b U+0075 U+02c8 U+0282 U+0075 U+005d
maiˈlu_[m͡aiˈlɤ]	<???>	maiˈlu_[m͡aiˈlɤ]	Kaxarari	1	U+006d U+0061 U+0069 U+02c8 U+006c U+0075 U+005f U+005b U+006d U+0361 U+0061 U+0069 U+02c8 U+006c U+0264 U+005d
ˈmatsi_[ˈmātsĭ]	<???>	ˈmatsi_[ˈmātsĭ]	Marubo	1	U+02c8 U+006d U+0061 U+0074 U+0073 U+0069 U+005f U+005b U+02c8 U+006d U+0101 U+0074 U+0073 U+012d U+005d
mãtsũy_[mə̃nˈdzoỹ]	<???>	mãtsũy_[mə̃nˈdzoỹ]	Katukina	1	U+006d U+00e3 U+0074 U+0073 U+0169 U+0079 U+005f U+005b U+006d U+0259 U+0303 U+006e U+02c8 U+0064 U+007a U+006f U+1ef9 U+005d
ẽ́$	ẽ́	meẽ́	Kakataibo	1	U+1ebd U+0301 U+0024
228$	<?>	mai᷈_228	ShipiboKonibo	1	U+0032 U+0032 U+0038 U+0024
mai᷈_[maˈi᷈]	<???>	mai᷈_[maˈi᷈]	Marubo	1	U+006d U+0061 U+0069 U+1dc8 U+005f U+005b U+006d U+0061 U+02c8 U+0069 U+1dc8 U+005d
mayti_[mayˈte]	<???>	mayti_[mayˈte]	Katukina	1	U+006d U+0061 U+0079 U+0074 U+0069 U+005f U+005b U+006d U+0061 U+0079 U+02c8 U+0074 U+0065 U+005d
maka_tanu_[maˈka_taˈnun]	<???>	maka_tanu_[maˈka_taˈnun]	Mayoruna	1	U+006d U+0061 U+006b U+0061 U+005f U+0074 U+0061 U+006e U+0075 U+005f U+005b U+006d U+0061 U+02c8 U+006b U+0061 U+005f U+0074 U+0061 U+02c8 U+006e U+0075 U+006e U+005d
á᷈$	á᷈	maká᷈	ShipiboKonibo	1	U+00e1 U+1dc8 U+0024
makano_[maˈkano]	<???>	makano_[maˈkano]	Mayoruna	1	U+006d U+0061 U+006b U+0061 U+006e U+006f U+005f U+005b U+006d U+0061 U+02c8 U+006b U+0061 U+006e U+006f U+005d
makɨ_[maˈkɨʔ]	<???>	makɨ_[maˈkɨʔ]	Katukina	1	U+006d U+0061 U+006b U+0268 U+005f U+005b U+006d U+0061 U+02c8 U+006b U+0268 U+0294 U+005d
makɨ_[maˈkɨ]	<???>	makɨ_[maˈkɨ]	Mayoruna	1	U+006d U+0061 U+006b U+0268 U+005f U+005b U+006d U+0061 U+02c8 U+006b U+0268 U+005d
malaˈhi_[mɐlɐˈhi]	<???>	malaˈhi_[mɐlɐˈhi]	Kaxarari	1	U+006d U+0061 U+006c U+0061 U+02c8 U+0068 U+0069 U+005f U+005b U+006d U+0250 U+006c U+0250 U+02c8 U+0068 U+0069 U+005d
mani_[maˈni]	<???>	mani_[maˈni]	Mayoruna	1	U+006d U+0061 U+006e U+0069 U+005f U+005b U+006d U+0061 U+02c8 U+006e U+0069 U+005d
bɨdnu_[bɨdˈnu]	<???>	bɨdnu_[bɨdˈnu]	Mayoruna	1	U+0062 U+0268 U+0064 U+006e U+0075 U+005f U+005b U+0062 U+0268 U+0064 U+02c8 U+006e U+0075 U+005d
mapo_[ˈmapo]	<???>	mapo_[ˈmapo]	Marubo	1	U+006d U+0061 U+0070 U+006f U+005f U+005b U+02c8 U+006d U+0061 U+0070 U+006f U+005d
mapuʔu_[mapuˈʔu]	<???>	mapuʔu_[mapuˈʔu]	Kaxarari	1	U+006d U+0061 U+0070 U+0075 U+0294 U+0075 U+005f U+005b U+006d U+0061 U+0070 U+0075 U+02c8 U+0294 U+0075 U+005d
ësh	ësh	madaështe	Mayoruna	1	U+00eb U+0073 U+0068
maɾi_[ˈmāɾĭ]	<???>	maɾi_[ˈmāɾĭ]	Marubo	1	U+006d U+0061 U+027e U+0069 U+005f U+005b U+02c8 U+006d U+0101 U+027e U+012d U+005d
made_[maɾe]	<???>	made_[maɾe]	MattisList	1	U+006d U+0061 U+0064 U+0065 U+005f U+005b U+006d U+0061 U+027e U+0065 U+005d
hɨnɨmaˈʃi_[hɨnɨmaˈʃi]	<???>	hɨnɨmaˈʃi_[hɨnɨmaˈʃi]	Kaxarari	1	U+0068 U+0268 U+006e U+0268 U+006d U+0061 U+02c8 U+0283 U+0069 U+005f U+005b U+0068 U+0268 U+006e U+0268 U+006d U+0061 U+02c8 U+0283 U+0069 U+005d
maʃi_[maˈʃiʔ]	<???>	maʃi_[maˈʃiʔ]	Katukina	1	U+006d U+0061 U+0283 U+0069 U+005f U+005b U+006d U+0061 U+02c8 U+0283 U+0069 U+0294 U+005d
masi_[maˈsi]	<???>	masi_[maˈsi]	Mayoruna	1	U+006d U+0061 U+0073 U+0069 U+005f U+005b U+006d U+0061 U+02c8 U+0073 U+0069 U+005d
maʂkad_[maʂˈkad]_isla_temporal	<???>	maʂkad_[maʂˈkad]_isla_temporal	Mayoruna	1	U+006d U+0061 U+0282 U+006b U+0061 U+0064 U+005f U+005b U+006d U+0061 U+0282 U+02c8 U+006b U+0061 U+0064 U+005d U+005f U+0069 U+0073 U+006c U+0061 U+005f U+0074 U+0065 U+006d U+0070 U+006f U+0072 U+0061 U+006c
ʐ	ʐ	mapuʐo	Kakataibo	1	U+0290
matas_[maˈtas]	<???>	matas_[maˈtas]	Mayoruna	1	U+006d U+0061 U+0074 U+0061 U+0073 U+005f U+005b U+006d U+0061 U+02c8 U+0074 U+0061 U+0073 U+005d
maues_[maˈwes]	<???>	maues_[maˈwes]	Mayoruna	1	U+006d U+0061 U+0075 U+0065 U+0073 U+005f U+005b U+006d U+0061 U+02c8 U+0077 U+0065 U+0073 U+005d
ls	ls	pulsera	Kaxinawa	1	U+006c U+0073
mɨ᷈tsisi_[mɨ᷈ˈtsisi]	<???>	mɨ᷈tsisi_[mɨ᷈ˈtsisi]	Marubo	1	U+006d U+0268 U+1dc8 U+0074 U+0073 U+0069 U+0073 U+0069 U+005f U+005b U+006d U+0268 U+1dc8 U+02c8 U+0074 U+0073 U+0069 U+0073 U+0069 U+005d
mɨ᷈tʃiʃi_[məˈ᷈tʃiʃi]	<???>	mɨ᷈tʃiʃi_[məˈ᷈tʃiʃi]	Katukina	1	U+006d U+0268 U+1dc8 U+0074 U+0283 U+0069 U+0283 U+0069 U+005f U+005b U+006d U+0259 U+02c8 U+1dc8 U+0074 U+0283 U+0069 U+0283 U+0069 U+005d
mɨntsis_[mɨnˈtsis]	<???>	mɨntsis_[mɨnˈtsis]	Mayoruna	1	U+006d U+0268 U+006e U+0074 U+0073 U+0069 U+0073 U+005f U+005b U+006d U+0268 U+006e U+02c8 U+0074 U+0073 U+0069 U+0073 U+005d
^229	<?>	229_mɨkayao	ShipiboKonibo	1	U+005e U+0032 U+0032 U+0039
naʔa[naˈʔa]	<???>	naʔa[naˈʔa]	Kaxarari	1	U+006e U+0061 U+0294 U+0061 U+005b U+006e U+0061 U+02c8 U+0294 U+0061 U+005d
[ˈnaj᷈]	<???>	[ˈnaj᷈]	Marubo	1	U+005b U+02c8 U+006e U+0061 U+006a U+1dc8 U+005d
nali_[naˈli]	<???>	nali_[naˈli]	Kaxarari	1	U+006e U+0061 U+006c U+0069 U+005f U+005b U+006e U+0061 U+02c8 U+006c U+0069 U+005d
nai_[ˈnay]	<???>	nai_[ˈnay]	Mayoruna	1	U+006e U+0061 U+0069 U+005f U+005b U+02c8 U+006e U+0061 U+0079 U+005d
naitʃi_[naiˈtʃi]	<???>	naitʃi_[naiˈtʃi]	Kaxarari	1	U+006e U+0061 U+0069 U+0074 U+0283 U+0069 U+005f U+005b U+006e U+0061 U+0069 U+02c8 U+0074 U+0283 U+0069 U+005d
nakua_[naˈkwa]	<???>	nakua_[naˈkwa]	Mayoruna	1	U+006e U+0061 U+006b U+0075 U+0061 U+005f U+005b U+006e U+0061 U+02c8 U+006b U+0077 U+0061 U+005d
nimaˈnu_[niˈma]	<???>	nimaˈnu_[niˈma]	Kaxarari	1	U+006e U+0069 U+006d U+0061 U+02c8 U+006e U+0075 U+005f U+005b U+006e U+0069 U+02c8 U+006d U+0061 U+005d
nami_[naˈmi]	<???>	nami_[naˈmi]	Mayoruna	1	U+006e U+0061 U+006d U+0069 U+005f U+005b U+006e U+0061 U+02c8 U+006d U+0069 U+005d
napi_[naˈpi]	<???>	napi_[naˈpi]	Mayoruna	1	U+006e U+0061 U+0070 U+0069 U+005f U+005b U+006e U+0061 U+02c8 U+0070 U+0069 U+005d
nia_[neˈaʔ]	<???>	nia_[neˈaʔ]	Katukina	1	U+006e U+0069 U+0061 U+005f U+005b U+006e U+0065 U+02c8 U+0061 U+0294 U+005d
nɨa_[nɨˈa]	<???>	nɨa_[nɨˈa]	Yawanawa	1	U+006e U+0268 U+0061 U+005f U+005b U+006e U+0268 U+02c8 U+0061 U+005d
lɨˈtɨ[ləˈtə]	<???>	lɨˈtɨ[ləˈtə]	Kaxarari	1	U+006c U+0268 U+02c8 U+0074 U+0268 U+005b U+006c U+0259 U+02c8 U+0074 U+0259 U+005d
nia_[ni.'a]	<???>	nia_[ni.'a]	Shanenawa	1	U+006e U+0069 U+0061 U+005f U+005b U+006e U+0069 U+002e U+0027 U+0061 U+005d
ë	ë	nimëduc	Mayoruna	1	U+00eb
nibed_[niˈbed]	<???>	nibed_[niˈbed]	Mayoruna	1	U+006e U+0069 U+0062 U+0065 U+0064 U+005f U+005b U+006e U+0069 U+02c8 U+0062 U+0065 U+0064 U+005d
’h	<?>	niɸ’halar’	Kakataibo	1	U+2019 U+0068
nɨiʃ_[ˈnɨyʃ]	<???>	nɨiʃ_[ˈnɨyʃ]	Mayoruna	1	U+006e U+0268 U+0069 U+0283 U+005f U+005b U+02c8 U+006e U+0268 U+0079 U+0283 U+005d
nua_[nwá]	<???>	nua_[nwá]	Mayoruna	1	U+006e U+0075 U+0061 U+005f U+005b U+006e U+0077 U+00e1 U+005d
uˈli_[oˈli]	<???>	uˈli_[oˈli]	Kaxarari	1	U+0075 U+02c8 U+006c U+0069 U+005f U+005b U+006f U+02c8 U+006c U+0069 U+005d
nuen_[nwén]	<???>	nuen_[nwén]	Mayoruna	1	U+006e U+0075 U+0065 U+006e U+005f U+005b U+006e U+0077 U+00e9 U+006e U+005d
nunu_[nuˈnu]	<???>	nunu_[nuˈnu]	Yawanawa	1	U+006e U+0075 U+006e U+0075 U+005f U+005b U+006e U+0075 U+02c8 U+006e U+0075 U+005d
^ū	ū	ūă	Marubo	1	U+005e U+016b
^ó$	ó	ó-	Marinawa	1	U+005e U+00f3 U+0024
^ˈv	v	ˈvimi_ˈua	Marubo	1	U+005e U+02c8 U+0076
hihuˈwa_[ɦiɦuˈwa]	<???>	hihuˈwa_[ɦiɦuˈwa]	Kaxarari	1	U+0068 U+0069 U+0068 U+0075 U+02c8 U+0077 U+0061 U+005f U+005b U+0266 U+0069 U+0266 U+0075 U+02c8 U+0077 U+0061 U+005d
hua_[huˈaʔ]	<???>	hua_[huˈaʔ]	Katukina	1	U+0068 U+0075 U+0061 U+005f U+005b U+0068 U+0075 U+02c8 U+0061 U+0294 U+005d
^S	<?>	SK_--	Kakataibo	1	U+005e U+0053
utsisi_[utsiˈsi]	<???>	utsisi_[utsiˈsi]	Yawanawa	1	U+0075 U+0074 U+0073 U+0069 U+0073 U+0069 U+005f U+005b U+0075 U+0074 U+0073 U+0069 U+02c8 U+0073 U+0069 U+005d
z$	z	voz	Kapanawa	1	U+007a U+0024
huya-ˈhi_[ɦɯjaˈɦi]	<???>	huya-ˈhi_[ɦɯjaˈɦi]	Kaxarari	1	U+0068 U+0075 U+0079 U+0061 U+002d U+02c8 U+0068 U+0069 U+005f U+005b U+0266 U+026f U+006a U+0061 U+02c8 U+0266 U+0069 U+005d
huiwˈhi_[ɦɯiwˈɦi]	<???>	huiwˈhi_[ɦɯiwˈɦi]	Kaxarari	1	U+0068 U+0075 U+0069 U+0077 U+f045 U+02c8 U+0068 U+0069 U+005f U+005b U+0266 U+026f U+0069 U+0077 U+f045 U+02c8 U+0266 U+0069 U+005d
uinte_[winˈte]	<???>	uinte_[winˈte]	Mayoruna	1	U+0075 U+0069 U+006e U+0074 U+0065 U+005f U+005b U+0077 U+0069 U+006e U+02c8 U+0074 U+0065 U+005d
ompo_[om.ˈpo]	<???>	ompo_[om.ˈpo]	Mayoruna	1	U+006f U+006d U+0070 U+006f U+005f U+005b U+006f U+006d U+002e U+02c8 U+0070 U+006f U+005d
^õ	õ	õki	Kakataibo	1	U+005e U+00f5
hunu_[huˈnoʔ]	<???>	hunu_[huˈnoʔ]	Katukina	1	U+0068 U+0075 U+006e U+0075 U+005f U+005b U+0068 U+0075 U+02c8 U+006e U+006f U+0294 U+005d
unkin_[uŋ.ˈkin]	<???>	unkin_[uŋ.ˈkin]	Mayoruna	1	U+0075 U+006e U+006b U+0069 U+006e U+005f U+005b U+0075 U+014b U+002e U+02c8 U+006b U+0069 U+006e U+005d
puˈʂɨ_[pɯˈʂɨ]	<???>	puˈʂɨ_[pɯˈʂɨ]	Kaxarari	1	U+0070 U+0075 U+02c8 U+0282 U+0268 U+005f U+005b U+0070 U+026f U+02c8 U+0282 U+0268 U+005d
ũʃi_[õŋˈʒiʔ]	<???>	ũʃi_[õŋˈʒiʔ]	Katukina	1	U+0169 U+0283 U+0069 U+005f U+005b U+00f5 U+014b U+02c8 U+0292 U+0069 U+0294 U+005d
^óʃ	óʃ	óʃi	Marinawa	1	U+005e U+00f3 U+0283
bakuˈʂu_[βakɯˈʂɯ]	<???>	bakuˈʂu_[βakɯˈʂɯ]	Kaxarari	1	U+0062 U+0061 U+006b U+0075 U+02c8 U+0282 U+0075 U+005f U+005b U+03b2 U+0061 U+006b U+026f U+02c8 U+0282 U+026f U+005d
uʂu_[uˈʂu]	<???>	uʂu_[uˈʂu]	Mayoruna	1	U+0075 U+0282 U+0075 U+005f U+005b U+0075 U+02c8 U+0282 U+0075 U+005d
paɨ_[paˈɨ]	<???>	paɨ_[paˈɨ]	Mayoruna	1	U+0070 U+0061 U+0268 U+005f U+005b U+0070 U+0061 U+02c8 U+0268 U+005d
pabiate_[pa.byá.te]	<???>	pabiate_[pa.byá.te]	Mayoruna	1	U+0070 U+0061 U+0062 U+0069 U+0061 U+0074 U+0065 U+005f U+005b U+0070 U+0061 U+002e U+0062 U+0079 U+00e1 U+002e U+0074 U+0065 U+005d
paˈka_[paˈka]	<???>	paˈka_[paˈka]	Kaxarari	1	U+0070 U+0061 U+02c8 U+006b U+0061 U+005f U+005b U+0070 U+0061 U+02c8 U+006b U+0061 U+005d
pakɨa_[păˈkɯ̄ă]	<???>	pakɨa_[păˈkɯ̄ă]	Marubo	1	U+0070 U+0061 U+006b U+0268 U+0061 U+005f U+005b U+0070 U+0103 U+02c8 U+006b U+026f U+0304 U+0103 U+005d
ˈɨ	ɨ	paˈɨd	Mayoruna	1	U+02c8 U+0268
panu_[paˈnu]	<???>	panu_[paˈnu]	Mayoruna	1	U+0070 U+0061 U+006e U+0075 U+005f U+005b U+0070 U+0061 U+02c8 U+006e U+0075 U+005d
iˈpa_[iˈpa]	<???>	iˈpa_[iˈpa]	Kaxarari	1	U+0069 U+02c8 U+0070 U+0061 U+005f U+005b U+0069 U+02c8 U+0070 U+0061 U+005d
ɨ+ipa_[ɨˈpa]	<???>	ɨ+ipa_[ɨˈpa]	Kaxarari	1	U+0268 U+002b U+0069 U+0070 U+0061 U+005f U+005b U+0268 U+02c8 U+0070 U+0061 U+005d
^ɨ́́	ɨ́	ɨ́́pá	Marinawa	1	U+005e U+0268 U+0301 U+0301
papa_[paˈpa]	<???>	papa_[paˈpa]	Mayoruna	1	U+0070 U+0061 U+0070 U+0061 U+005f U+005b U+0070 U+0061 U+02c8 U+0070 U+0061 U+005d
́$	<?>	parã-́	ShipiboKonibo	1	U+0301 U+0024
padu_[paˈɾu]	<???>	padu_[paˈɾu]	Mayoruna	1	U+0070 U+0061 U+0064 U+0075 U+005f U+005b U+0070 U+0061 U+02c8 U+027e U+0075 U+005d
ʃiˈni_[ʃiˈni]	<???>	ʃiˈni_[ʃiˈni]	Kaxarari	1	U+0283 U+0069 U+02c8 U+006e U+0069 U+005f U+005b U+0283 U+0069 U+02c8 U+006e U+0069 U+005d
231$	<?>	pãtu231	Kaxinawa	1	U+0032 U+0033 U+0031 U+0024
pandud_[pan.ˈdud]	<???>	pandud_[pan.ˈdud]	Mayoruna	1	U+0070 U+0061 U+006e U+0064 U+0075 U+0064 U+005f U+005b U+0070 U+0061 U+006e U+002e U+02c8 U+0064 U+0075 U+0064 U+005d
ĩ̃$	ĩ	pɨtʃĩ̃-	ShipiboKonibo	1	U+0129 U+0303 U+0024
piˈʔi_[piˈʔi]	<???>	piˈʔi_[piˈʔi]	Kaxarari	1	U+0070 U+0069 U+02c8 U+0294 U+0069 U+005f U+005b U+0070 U+0069 U+02c8 U+0294 U+0069 U+005d
pɨi_[pɨ.ˈi]	<???>	pɨi_[pɨ.ˈi]	Yawanawa	1	U+0070 U+0268 U+0069 U+005f U+005b U+0070 U+0268 U+002e U+02c8 U+0069 U+005d
