NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	PROTO_ID	PROTO_CONCEPT
4803	subir (um morro)	568	RISE (MOVE UPWARDS)	§218	1
4824	camarão	2349	SHRIMP	§219	1
4845	cabeça	1256	HEAD	§220	1
4868	barro,  poeira	2	DUST	§221	1
4894	esp.deplanta			§222	1
4914	cutia (esp. de roedor)	313	AGOUTI	§223	1
4936	esp. de cabaça			§224	1
4957	areia	671	SAND	§225	1
4979	pedra	857	STONE	§226	1
4999	urucum (a árvore e o seu fruto)	349	ACHIOTE	§227	1
5019	encima,  cume	1741	ABOVE	§228	1
5042	cortar o cabelo			§229	1
5066	chifre de animal			§230	1
5088	golpear a cabeça			§231	1
5110	morrer	1494	DIE	§232	1
5129	esp. de formiga			§233	1
5150	torcer, girar,  mover em círculos	3199	TWIST (AROUND)	§234	1
5171	tocar, mexer com a mão,  tatear	1892	TOUCH	§235	1
5193	molhar,  molhado	1726	WET	§236	1
5216	mão	1277	HAND	§237	1
5237	unha da mão			§238	1
5267	mão	1277	HAND	§239	1
5289	mão direita	2183	RIGHT HAND	§240	1
5309	encontrar,  procurar	1831	MEET	§241	1
5329	engatinhar			§242	1
5350	dedo	1303	FINGER	§243	1
5371	barreiro,  canamã			§244	1
5391	tu, você	1215	THOU	§245	1
5411	vocês,  vós	1213	YOU	§246a	1
5422	pamonha			§247	1
5443	anzol	1074	FISHHOOK	§248	1
5463	veneno,  amargo	887	BITTER	§249	1
5483	espinho	124	THORN	§250	1
5505	ninho	539	NEST	§251	1
5527	esp. de preguiça (macaco)			§252	1
5547	céu	1732	SKY	§253	1
5571	esp. de mosquito			§254	1
5592	cupim	883	TERMITE	§255	1
5613	soñar			§256	1
5634	abaixo, embaixo,  sob			§257	1
5657	carne	2259	FLESH	§258	1
5680	jenipapo			§259	1
5701	colocar dentro,  submergir			§260	1
5724	dentro,  no centro	1606	INSIDE	§261	1
5747	banhar-se,  tomar banho	138	BATHE	§262	1
5769	largo	1243	WIDE	§263	1
5789	morder	1403	BITE	§264	1
5808	estrangeiro			§265	1
5829	arco íris			§266	1
5850	capoeira,  roça abandonada			§267	1
5872	jacamim (esp. de pássaro)			§268	1
5893	unir,  juntar			§269	1
5913	amarrar	1917	TIE	§270	1
5934	esp. de pássaro (Shell (1975 [1965] o descreve como shansho)			§271	1
5955	día			§272	1
5975	ficar em pé	1442	STAND	§273	1
5999	mata,  floresta	420	FOREST	§274	1
6024	brisa			§275	1
6046	lacraia,  escorpião	1538	SCORPION	§276	1
6067	escurtar,  ouvir	1408	HEAR	§277	1
6088	arrastar			§278	1
6109	suar			§279	1
6130	suar			§280	1
6150	aborrecer-se			§281	1
6171	vento	960	WIND	§282	1
6195	nós,  nos	1212	WE	§283	1
6206	profundo			§284	1
6227	esp. de caramujo			§285	1
6248	minhoca	2350	EARTHWORM	§286	1
6273	esp. de caramujo			§287	1
6293	gostoso,  delicioso			§288	1
6313	amar,  gostar	923	LOVE	§289	1
6335	apagar			§290	1
6357	nadar	1439	SWIM	§291	1
6378	nadar	1439	SWIM	§292	1
6383	pato	1360	DUCK	§293	1
6406	canoa	1970	CANOE	§294	1
6426	voar	1441	FLY (MOVE THROUGH AIR)	§295	1
6447	vir,  chegar	1446	COME	§296	1
6468	flor	239	FLOWER	§297	1
6491	garra,  unha	1258	FINGERNAIL	§298	1
6514	fala, voz,  palavra	1363	VOICE	§299	1
6535	respirar	1407	BREATHE	§300	1
6556	coração	1223	HEART	§301	1
6578	esconder	602	HIDE (CONCEAL)	§302	1
6599	homem,  humano	1554	MAN	§303	1
6620	esp. de queixada (porco do mato)			§304	1
6641	vermelho	156	RED	§305	1
6668	branco	1335	WHITE	§306	1
6689	lavar	1453	WASH	§307	1
6710	embebedar-se, bêbado,  embriagado	1463	DRUNK	§308	1
6735	surdo	996	DEAF	§309	1
6759	ouvido (provavelmente paβi (orelha) + n (gen.) + kini (buraco) = buraco da orelha)			§310	1
6784	esp. de taboca (bambu)			§311	1
6804	cair	1280	FALL	§312	1
6833	esp. de tatu			§313	1
6854	enfeite de orelha,  brinco	770	EARRING	§314	1
6876	pai	1217	FATHER	§315	1
6907	enganar			§316	1
6928	rio	666	RIVER	§317	1
6948	amarelo	1424	YELLOW	§319	1
6970	novo, fresco, cru	1231	NEW	§320	1
6990	rama del árbol			§321	1
7010	surdo	996	DEAF	§322	1
7032	abanar			§323	1
7053	podre	1728	ROTTEN	§324	1
7073	asa,  pena	1201	FEATHER	§325	1
7096	comer	1336	EAT	§326	1
7119	sobrinho,  filho da irmã	1063	NEPHEW	§327	1
7142	flecha	977	ARROW	§328	1
7165	periquito			§329	1
7186	beija-flor	1589	HUMMINGBIRD	§330	1
7207	esp. de tucano			§331	1
7228	fedido,  fedor			§332	1
7249	esp. de cobra			§333	1
7271	bolsapequena(?)			§334	1
7291	esteira	195	MAT	§335	1
7312	pequeno	1246	SMALL	§336	1
7332	comida (coisa de comer)	256	FOOD	§337	1
7353	fezes	675	FAECES (EXCREMENT)	§338	1
7374	esp. de tubérculo (inhame?)			§339	1
7395	irmã ou irmão do sexo oposto			§340	1
7417	intestino,  barriga	1251	BELLY	§341	1
7438	veia	1924	VEIN	§342	1
7459	esp. de coruja			§343	1
7480	esp. de preguiça			§344	1
7500	tornozelo	803	ANKLE	§345	1
7522	jogar,  abandonar	1456	THROW	§346	1
7543	poeira	2	DUST	§347	1
7566	braço	1673	ARM	§348	1
7591	braço	1673	ARM	§349	1
7611	remédio,  medicina tradicional	1372	MEDICINE	§350	1
7634	ter medo,  assustar-se	1419	FEAR (BE AFRAID)	§351	1
7655	dois	1498	TWO	§352	1
7677	envergonhar-se,  ter vergonha			§353	1
7698	rótula,  joelho	1371	KNEE	§354	1
7718	temer			§355	1
7738	deitar-se	215	LIE DOWN	§356	1
7760	cobrir,  envolver	761	COVER	§357	1
7781	pelo do corpo			§358	1
7801	joelho	1371	KNEE	§359	1
7825	matar	1417	KILL	§360	1
7846	ponta,  cabeceira do rio			§361	1
7872	para frente,  para cima (no rio)			§362	1
7895	buraco do nariz,  narina	1178	NOSTRIL	§363	1
